Anno,Codice Istat provincia,Provincia,Codice Istat comune,Comune,Tasso mortalita' anagrafica,Tasso natalita' anagrafica,Tasso iscrizione anagrafica,Tasso cancellazione anagrafica
2016,98,LO,98016,CAVACURTA,6.006006006006006,9.60960960960961,26.426426426426426,24.024024024024024
2016,16,BG,16043,CALCINATE,5.357890330682294,9.878610297195479,40.853913771452491,40.519045625784847
2015,98,LO,98050,SANT'ANGELO LODIGIANO,10.625782702743729,9.790899776099579,28.765511745284809,28.765511745284809
2015,16,BG,16244,ZANDOBBIO,8.754331570308225,8.024803939449207,29.91063286521977,44.865949297829655
2016,14,SO,14017,CERCINO,11.508951406649616,11.508951406649616,39.641943734015345,44.757033248081841
2015,16,BG,16063,CASTEL ROZZONE,9.561208809970975,9.219737066757726,23.561550281714188,31.756872118832167
2016,18,PV,18040,CASTELNOVETTO,26.868178001679261,1.679261125104954,36.943744752308984,36.943744752308984
2016,97,LC,97029,CREMENO,7.714561234329797,7.714561234329797,80.360012857602057,37.287045965927355
2016,14,SO,14071,VALDIDENTRO,6.800242865816636,9.957498482088646,13.114754098360656,19.914996964177292
2016,16,BG,16134,MEZZOLDO,23.529411764705882,5.882352941176471,17.647058823529412,23.529411764705882
2015,17,BS,17197,VESTONE,8.609946754276651,7.930214115781126,19.938824062535403,29.908236093803104
2015,18,PV,18108,PANCARANA,9.523809523809524,6.349206349206349,44.444444444444444,34.920634920634921
2016,18,PV,18142,SANTA MARGHERITA DI STAFFORA,16.89545934530095,2.111932418162619,27.455121436114044,10.559662090813094
2016,15,MI,15015,BASIGLIO,6.404098623118796,6.788344540505924,62.632084534101825,53.154018571886007
2015,12,VA,12082,INARZO,5.563282336578581,9.272137227630969,25.961984237366713,52.851182197496523
2015,12,VA,12061,CURIGLIA CON MONTEVIASCO,16.713091922005571,11.142061281337047,61.28133704735376,27.855153203342618
2016,20,MN,20007,BOZZOLO,7.86463298379409,7.149666348903718,34.556720686367969,27.645376549094376
2016,17,BS,17003,AGNOSINE,14.116318464144551,8.469791078486731,14.680971202710333,30.49124788255223
2016,16,BG,16005,ALME',7.452754857599148,6.565522136456393,37.618667376452844,42.587170614852276
2016,18,PV,18141,SANT'ALESSIO CON VIALONE,5.213764337851929,11.470281543274244,59.436913451511992,61.522419186652763
2016,17,BS,17128,OSSIMO,15.87849499482223,6.903693476009665,22.782188470831895,17.259233690024163
2015,18,PV,18159,TORRE D'ISOLA,5.809128630705394,8.713692946058091,37.759336099585062,34.854771784232365
2015,13,CO,13206,SAN FERMO DELLA BATTAGLIA,9.646302250803859,7.502679528403001,53.804930332261522,32.797427652733119
2016,16,BG,16107,GANDELLINO,11.869436201780415,5.934718100890208,14.836795252225519,10.880316518298714
2016,17,BS,17190,TRENZANO,7.805965988291051,7.805965988291051,24.718892296254995,32.339001951491497
2015,16,BG,16120,GRUMELLO DEL MONTE,10.341543067083957,8.572594910872228,36.875765410259899,30.480337460879031
2016,14,SO,14007,BERBENNO DI VALTELLINA,9.802749551703527,7.411835026897788,26.30005977286312,37.059175134488942
2016,16,BG,16165,PIAZZATORRE,12.315270935960591,0,12.315270935960591,19.704433497536946
2016,17,BS,17141,PEZZAZE,9.324009324009324,11.988011988011988,30.636030636030636,31.302031302031302
2015,16,BG,16179,RANZANICO,3.288121660501439,5.754212905877517,33.703247020139745,51.787916152897657
2015,20,MN,20038,OSTIGLIA,13.712618526622903,7.731582786287381,27.716994894237783,32.530999270605398
2016,97,LC,97046,MANDELLO DEL LARIO,12.511428708916799,5.00457148356672,22.520571676050238,21.654395842355998
2016,16,BG,16067,CAZZANO SANT'ANDREA,6.557377049180328,9.538002980625931,29.210134128166915,29.210134128166915
2016,18,PV,18116,PIZZALE,23.004059539918809,10.825439783491204,62.246278755074425,39.242219215155616
